provider_id,year_month,claims_n,members_unique_n,billed_total,approved_total,avg_claim_amount,median_claim_amount,p95_claim_amount,emergency_claims_n,inpatient_claims_n,preventive_claims_n,duplicate_claims_n,suspicious_claims_n,dx_proc_mismatch_n,high_severity_share,suspicious_claim_ratio,provider_type,specialty_group,provider_archetype,cost_vs_peer_index,utilization_density_index,anomaly_score_provider,provider_alert_level
PRV00003,2024-06,6,6,1794.36,1547.07,299.06,251.195,505.085,0,0,0,1,1,0,0.333,0.167,Pharmacy,Pharmacy,High Complexity,1.057,1.0,0.097,Normal
PRV00003,2024-07,3,3,941.29,819.52,313.7633333333333,279.67,490.0,0,0,0,0,0,0,0.333,0.0,Pharmacy,Pharmacy,High Complexity,1.04,1.0,0.034,Normal
PRV00003,2024-08,8,8,2785.29,2363.46,348.16125,353.415,620.8949999999999,0,0,0,0,0,0,0.125,0.0,Pharmacy,Pharmacy,High Complexity,1.247,1.0,0.086,Normal
PRV00003,2024-09,6,6,873.46,762.44,145.57666666666668,150.08999999999997,219.4425,0,0,1,0,0,0,0.167,0.0,Pharmacy,Pharmacy,High Complexity,0.488,1.0,0.024,Normal
PRV00003,2024-10,3,3,442.03,349.44,147.34333333333333,102.69,225.765,0,0,0,0,1,0,0.0,0.333,Pharmacy,Pharmacy,High Complexity,0.708,1.0,0.141,Normal
PRV00003,2024-11,4,4,1716.0,1399.3999999999999,429.0,366.985,870.4364999999999,0,0,2,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,1.479,1.0,0.144,Normal
PRV00003,2024-12,6,6,1471.4299999999998,1311.97,245.23833333333332,151.0,541.6875,0,0,1,0,0,0,0.167,0.0,Pharmacy,Pharmacy,High Complexity,0.9,1.0,0.024,Normal
PRV00003,2025-01,2,2,763.1500000000001,638.27,381.57500000000005,381.57500000000005,467.2685,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,1.595,1.0,0.173,Normal
PRV00003,2025-02,4,4,1662.79,1521.22,415.6975,242.92000000000002,862.4269999999998,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,1.639,1.0,0.184,Normal
PRV00003,2025-03,2,2,247.2,217.82,123.6,123.6,136.587,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,0.529,1.0,0.024,Normal
PRV00003,2025-04,2,2,277.15,254.98,138.575,138.575,167.71249999999998,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,0.573,1.0,0.024,Normal
PRV00003,2025-05,5,5,1778.8,1582.6000000000001,355.76,161.13,947.8539999999998,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,1.442,1.0,0.134,Normal
PRV00003,2025-06,3,3,574.29,523.29,191.42999999999998,175.62,246.837,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,0.785,1.0,0.024,Normal
PRV00003,2025-07,4,4,999.83,817.27,249.9575,237.98000000000002,445.3405,0,0,2,1,1,0,0.0,0.25,Pharmacy,Pharmacy,High Complexity,0.799,1.0,0.111,Normal
PRV00003,2025-08,4,4,1079.23,918.92,269.8075,245.575,441.0415,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,0.82,1.0,0.024,Normal
PRV00003,2025-09,2,2,587.19,524.89,293.595,293.595,388.6755,0,0,1,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,1.109,1.0,0.051,Normal
PRV00003,2025-10,2,2,931.7099999999999,708.56,465.85499999999996,465.85499999999996,564.6975,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,1.88,1.0,0.244,Watchlist
PRV00003,2025-11,1,1,183.16,174.07,183.16,183.16,183.16,0,0,0,1,1,0,0.0,1.0,Pharmacy,Pharmacy,High Complexity,0.729,1.0,0.374,Watchlist
PRV00003,2025-12,5,5,1487.3200000000002,1282.1599999999999,297.46400000000006,245.28,423.71,0,0,0,0,0,0,0.0,0.0,Pharmacy,Pharmacy,High Complexity,1.021,1.0,0.029,Normal
PRV00004,2024-01,4,4,9342.58,8619.220000000001,2335.645,1309.58,5451.298499999999,0,0,0,0,2,0,0.0,0.5,Lab,Laboratory,Suspicious,4.852,1.0,1.278,High Alert
PRV00004,2024-02,5,5,6589.4400000000005,5623.58,1317.8880000000001,1383.95,1792.3539999999998,0,0,0,0,4,0,0.0,0.8,Lab,Laboratory,Suspicious,2.225,1.0,0.726,High Alert
PRV00004,2024-03,7,7,3565.26,2808.48,509.3228571428572,385.6,871.465,0,0,0,0,3,0,0.0,0.429,Lab,Laboratory,Suspicious,1.197,1.0,0.339,Watchlist
PRV00004,2024-04,2,2,703.55,618.54,351.775,351.775,468.2845,0,0,0,0,0,0,0.5,0.0,Lab,Laboratory,Suspicious,0.822,1.0,0.14,Normal
PRV00004,2024-05,3,3,1813.8600000000001,1288.92,604.62,333.33,1163.2649999999999,0,0,0,0,2,0,0.0,0.667,Lab,Laboratory,Suspicious,1.659,1.0,0.538,High Alert
PRV00004,2024-06,4,4,1549.71,1284.02,387.4275,223.82999999999998,840.6284999999998,0,0,1,0,0,0,0.25,0.0,Lab,Laboratory,Suspicious,0.781,1.0,0.14,Normal
PRV00004,2024-07,4,4,2173.42,1767.5800000000002,543.355,538.8399999999999,795.0949999999999,0,0,1,0,2,0,0.0,0.5,Lab,Laboratory,Suspicious,1.363,1.0,0.406,Watchlist
PRV00004,2024-08,5,5,5642.13,4718.14,1128.426,763.71,2752.4659999999994,0,0,1,0,2,0,0.0,0.4,Lab,Laboratory,Suspicious,3.537,1.0,0.914,High Alert
PRV00004,2024-09,4,4,1762.1,1487.55,440.525,372.82,801.9219999999998,0,0,0,0,1,0,0.0,0.25,Lab,Laboratory,Suspicious,1.232,1.0,0.286,Watchlist
PRV00004,2024-10,4,4,3111.02,2410.59,777.755,328.565,2084.8764999999994,0,0,1,0,3,0,0.0,0.75,Lab,Laboratory,Suspicious,1.863,1.0,0.618,High Alert
PRV00004,2024-11,5,5,2503.29,1967.81,500.658,480.65,768.84,0,0,0,0,3,0,0.0,0.6,Lab,Laboratory,Suspicious,1.041,1.0,0.36,Watchlist
PRV00004,2024-12,3,3,667.31,574.21,222.43666666666664,154.46,338.573,0,0,1,0,0,0,0.0,0.0,Lab,Laboratory,Suspicious,0.406,1.0,0.14,Normal
PRV00004,2025-01,4,4,1257.7,980.98,314.425,336.66999999999996,432.27,0,0,0,0,1,0,0.0,0.25,Lab,Laboratory,Suspicious,0.537,1.0,0.227,Watchlist
PRV00004,2025-02,5,5,3313.15,2349.48,662.63,379.15,1606.9319999999998,0,0,1,0,2,0,0.0,0.4,Lab,Laboratory,Suspicious,1.912,1.0,0.508,High Alert
PRV00004,2025-03,2,2,1767.49,1194.9,883.745,883.745,1090.9205,0,0,0,0,2,0,0.0,1.0,Lab,Laboratory,Suspicious,2.834,1.0,0.948,High Alert
PRV00004,2025-04,6,6,13247.31,11443.98,2207.8849999999998,649.6700000000001,8078.922499999999,0,0,1,0,4,0,0.0,0.667,Lab,Laboratory,Suspicious,3.552,1.0,1.011,High Alert
PRV00004,2025-05,9,9,6585.63,5503.610000000001,731.7366666666667,657.4,1291.82,0,0,1,0,3,0,0.0,0.333,Lab,Laboratory,Suspicious,1.68,1.0,0.427,Watchlist
PRV00004,2025-06,3,3,5672.87,3153.8,1890.9566666666667,310.14,4586.3369999999995,0,0,0,0,1,0,0.0,0.333,Lab,Laboratory,Suspicious,3.106,1.0,0.783,High Alert
PRV00004,2025-07,2,2,1026.06,760.24,513.03,513.03,883.245,0,0,0,0,1,0,0.0,0.5,Lab,Laboratory,Suspicious,1.17,1.0,0.357,Watchlist
PRV00004,2025-09,5,5,2695.39,2376.67,539.078,557.17,937.4019999999999,0,0,1,0,1,0,0.2,0.2,Lab,Laboratory,Suspicious,0.852,1.0,0.21,Normal
PRV00004,2025-10,1,1,310.04,236.23,310.04,310.04,310.04,0,0,0,0,1,0,0.0,1.0,Lab,Laboratory,Suspicious,0.906,1.0,0.49,High Alert
PRV00004,2025-11,5,5,5044.23,4558.570000000001,1008.8459999999999,717.98,2475.8719999999994,0,0,2,0,0,0,0.0,0.0,Lab,Laboratory,Suspicious,2.283,1.0,0.461,Watchlist
PRV00004,2025-12,2,2,601.5999999999999,497.95000000000005,300.79999999999995,300.79999999999995,399.10699999999997,0,0,0,0,0,0,0.0,0.0,Lab,Laboratory,Suspicious,0.675,1.0,0.14,Normal
PRV00005,2024-01,14,14,42840.79,39933.43,3060.0564285714286,224.85500000000002,14026.179999999986,2,1,0,0,0,0,0.214,0.0,Hospital,Orthopedics,Normal,2.139,1.0,0.295,Watchlist
PRV00005,2024-02,14,14,26140.47,22489.760000000002,1867.1764285714287,234.41500000000002,10170.731999999998,2,3,4,1,3,0,0.286,0.214,Hospital,Orthopedics,Normal,1.358,1.0,0.174,Normal
PRV00005,2024-03,10,10,13690.6,10879.59,1369.06,194.89499999999998,6748.833499999989,0,1,2,2,2,0,0.2,0.2,Hospital,Orthopedics,Normal,0.801,1.0,0.08,Normal
PRV00005,2024-04,17,17,8599.59,7120.77,505.85823529411766,183.4,1391.0639999999985,3,1,0,1,4,0,0.118,0.235,Hospital,Orthopedics,Normal,0.34,1.0,0.092,Normal
PRV00005,2024-05,18,18,10685.880000000001,8832.07,593.6600000000001,311.31,2773.9224999999997,4,4,1,0,2,1,0.278,0.111,Hospital,Orthopedics,Normal,0.789,1.0,0.049,Normal
PRV00005,2024-06,9,9,12831.02,11357.310000000001,1425.668888888889,203.36,6547.639999999998,2,2,2,0,0,0,0.444,0.0,Hospital,Orthopedics,Normal,0.693,1.0,0.01,Normal
PRV00005,2024-07,16,16,50815.02,47567.39,3175.93875,250.305,20057.292500000003,3,4,1,1,1,0,0.25,0.062,Hospital,Orthopedics,Normal,1.773,1.0,0.225,Watchlist
PRV00005,2024-08,13,13,6506.31,5306.21,500.48538461538465,300.87,1412.333999999999,2,2,1,0,0,0,0.154,0.0,Hospital,Orthopedics,Normal,0.346,1.0,0.01,Normal
PRV00005,2024-09,16,16,51064.63,47061.43,3191.539375,282.73,12240.485,2,4,3,0,1,0,0.312,0.062,Hospital,Orthopedics,Normal,2.331,1.0,0.364,Watchlist
PRV00005,2024-10,14,14,73798.91,61060.17,5271.350714285714,252.885,24616.37449999998,2,2,1,0,0,0,0.286,0.0,Hospital,Orthopedics,Normal,2.752,1.0,0.448,Watchlist
PRV00005,2024-11,9,9,26196.65,22958.47,2910.738888888889,254.17,14638.229999999992,1,1,1,0,0,0,0.222,0.0,Hospital,Orthopedics,Normal,2.116,1.0,0.289,Watchlist
PRV00005,2024-12,16,16,74695.8,58926.52,4668.4875,214.435,24443.9825,2,5,3,0,0,0,0.375,0.0,Hospital,Orthopedics,Normal,3.539,1.0,0.645,High Alert
PRV00005,2025-01,17,17,4286.52,3679.04,252.14823529411768,162.67,615.5139999999997,3,2,1,1,2,0,0.176,0.118,Hospital,Orthopedics,Normal,0.095,1.0,0.051,Normal
PRV00005,2025-02,11,11,3570.87,3122.06,324.62454545454545,221.7,711.28,0,1,0,0,0,0,0.273,0.0,Hospital,Orthopedics,Normal,0.237,1.0,0.01,Normal
PRV00005,2025-03,18,18,6076.06,5518.76,337.55888888888893,157.695,1218.8189999999986,2,1,2,0,0,0,0.056,0.0,Hospital,Orthopedics,Normal,0.19,1.0,0.01,Normal
PRV00005,2025-04,9,9,4659.98,4152.26,517.7755555555555,201.28,1938.609999999999,2,1,0,0,1,0,0.333,0.111,Hospital,Orthopedics,Normal,0.288,1.0,0.049,Normal
PRV00005,2025-05,18,18,6588.63,5736.04,366.035,271.91499999999996,694.3264999999988,3,1,0,0,2,1,0.056,0.111,Hospital,Orthopedics,Normal,0.459,1.0,0.049,Normal
PRV00005,2025-06,16,16,181560.82,167100.19999999998,11347.55125,199.5,59800.6075,1,3,2,0,0,0,0.25,0.0,Hospital,Orthopedics,Normal,8.303,1.0,1.5,High Alert
PRV00005,2025-07,15,15,15083.24,13339.72,1005.5493333333333,320.98,3715.6299999999896,7,1,0,0,0,0,0.133,0.0,Hospital,Orthopedics,Normal,0.797,1.0,0.01,Normal
PRV00005,2025-08,20,19,11043.11,9187.369999999999,552.1555000000001,281.64,1545.819,2,5,2,0,2,2,0.35,0.1,Hospital,Orthopedics,Normal,0.452,1.053,0.045,Normal
PRV00005,2025-09,15,15,7852.42,6202.98,523.4946666666667,199.0,2068.1599999999967,4,1,4,1,3,0,0.067,0.2,Hospital,Orthopedics,Normal,0.192,1.0,0.08,Normal
PRV00005,2025-10,17,17,11223.380000000001,9302.19,660.1988235294118,313.03,2103.4519999999998,2,4,4,0,1,1,0.235,0.059,Hospital,Orthopedics,Normal,0.589,1.0,0.031,Normal
PRV00005,2025-11,14,14,11458.14,10346.15,818.4385714285714,325.83000000000004,2906.3769999999995,2,2,0,0,0,0,0.214,0.0,Hospital,Orthopedics,Normal,0.436,1.0,0.01,Normal
PRV00005,2025-12,8,8,2499.14,2058.32,312.3925,190.065,862.8359999999996,0,1,2,0,0,0,0.125,0.0,Hospital,Orthopedics,Normal,0.222,1.0,0.01,Normal
PRV00006,2024-01,11,11,4089.32,3514.99,371.75636363636363,291.11,871.25,1,0,1,0,0,0,0.091,0.0,Hospital,General Medicine,Expensive,0.26,1.0,0.036,Normal
PRV00006,2024-02,15,15,13851.85,12301.060000000001,923.4566666666667,359.58,3883.2629999999945,2,2,3,1,3,0,0.133,0.2,Hospital,General Medicine,Expensive,0.671,1.0,0.106,Normal
PRV00006,2024-03,16,16,13137.019999999999,10707.74,821.0637499999999,411.22,3183.8125,3,3,1,0,0,0,0.188,0.0,Hospital,General Medicine,Expensive,0.48,1.0,0.036,Normal
PRV00006,2024-04,7,7,5189.28,4334.48,741.3257142857143,602.26,1666.3019999999995,0,2,0,1,3,1,0.571,0.429,Hospital,General Medicine,Expensive,0.499,1.0,0.186,Normal
PRV00006,2024-05,17,17,13634.45,12071.35,802.0264705882354,684.11,1639.5319999999997,3,3,2,2,3,0,0.235,0.176,Hospital,General Medicine,Expensive,1.066,1.0,0.114,Normal
PRV00006,2024-06,12,12,5320.42,4882.89,443.36833333333334,377.075,890.3804999999996,2,1,2,1,2,0,0.333,0.167,Hospital,General Medicine,Expensive,0.215,1.0,0.094,Normal
PRV00006,2024-07,14,14,5770.37,4990.46,412.1692857142857,292.45,1228.9139999999998,3,2,1,2,5,1,0.214,0.357,Hospital,General Medicine,Expensive,0.23,1.0,0.161,Normal
PRV00006,2024-08,16,16,14083.89,12820.349999999999,880.243125,317.145,3006.755,1,3,1,1,1,0,0.188,0.062,Hospital,General Medicine,Expensive,0.608,1.0,0.058,Normal
PRV00006,2024-09,15,15,16369.5,13750.56,1091.3,323.17,4075.0669999999964,4,3,0,1,2,1,0.2,0.133,Hospital,General Medicine,Expensive,0.797,1.0,0.083,Normal
PRV00006,2024-10,23,23,18792.96,15840.4,817.0852173913044,353.88,3492.438999999998,3,5,2,0,1,0,0.304,0.043,Hospital,General Medicine,Expensive,0.427,1.0,0.051,Normal
PRV00006,2024-11,11,11,8197.68,7306.57,745.2436363636364,565.03,2107.64,1,1,1,0,0,0,0.182,0.0,Hospital,General Medicine,Expensive,0.542,1.0,0.036,Normal
PRV00006,2024-12,18,18,12895.89,11551.39,716.4383333333333,460.25,2196.429999999997,0,3,1,0,0,0,0.167,0.0,Hospital,General Medicine,Expensive,0.543,1.0,0.036,Normal
PRV00006,2025-01,11,11,3876.6299999999997,3667.99,352.42090909090905,256.66,905.6800000000001,3,1,1,0,1,0,0.182,0.091,Hospital,General Medicine,Expensive,0.132,1.0,0.068,Normal
PRV00006,2025-02,18,18,84570.40000000001,66909.76999999999,4698.355555555556,461.78,12983.204499999898,1,4,1,0,2,1,0.222,0.111,Hospital,General Medicine,Expensive,3.426,1.0,0.681,High Alert
PRV00006,2025-03,15,15,4706.27,4010.34,313.7513333333334,252.97,707.8159999999993,1,1,0,1,2,1,0.067,0.133,Hospital,General Medicine,Expensive,0.177,1.0,0.083,Normal
PRV00006,2025-04,17,17,49898.61,45714.02,2935.2123529411765,361.1,18481.445999999996,3,5,1,0,1,0,0.294,0.059,Hospital,General Medicine,Expensive,1.633,1.0,0.215,Normal
PRV00006,2025-05,15,15,7844.47,6941.57,522.9646666666666,271.76,1604.1939999999981,3,1,3,0,0,0,0.2,0.0,Hospital,General Medicine,Expensive,0.656,1.0,0.036,Normal
PRV00006,2025-06,5,5,4768.5,4164.030000000001,953.7,588.34,2561.9059999999995,1,1,0,0,0,0,0.2,0.0,Hospital,General Medicine,Expensive,0.698,1.0,0.036,Normal
PRV00006,2025-07,13,13,12700.779999999999,10648.57,976.9830769230769,266.69,3995.415999999991,3,0,0,0,0,0,0.077,0.0,Hospital,General Medicine,Expensive,0.775,1.0,0.036,Normal
PRV00006,2025-08,22,22,11250.36,9973.6,511.38000000000005,318.45500000000004,1433.9834999999998,1,4,1,1,2,1,0.227,0.091,Hospital,General Medicine,Expensive,0.419,1.0,0.068,Normal
PRV00006,2025-09,10,10,6596.72,5897.59,659.672,422.94,1836.202999999998,2,0,0,0,1,0,0.0,0.1,Hospital,General Medicine,Expensive,0.242,1.0,0.071,Normal
